file_path,format,overall_score,word_count,is_stub,is_hub,word_count_score,version_currency_score,crosslinks_score,url_structure_score,structured_data_score,code_examples_score,categories_score
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/AI/mcp-custom-login-page.md,md,60,1282,False,False,20,20,0,10,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/AI/mcp-service-creation.md,md,78.8,711,False,False,20,20,3.8,10,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/AI/mcp-service.md,md,75,643,False,False,20,20,0,10,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/Security/authentication-apis.md,md,65,2574,False,False,20,20,0,10,0,0,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/Security/creating-your-auth-service/azure-ad-oauth.md,md,57.5,1306,False,False,20,20,7.5,10,0,0,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/Security/creating-your-auth-service/github-oauth.md,md,53.8,850,False,False,20,20,3.8,10,0,0,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/Security/creating-your-auth-service/okta-setup.md,md,53.8,791,False,False,20,20,3.8,10,0,0,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/Security/rate-limiting.md,md,30.1,2,True,False,0.1,20,0,10,0,0,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/Security/role-based-access.md,md,75,586,False,False,20,20,0,10,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/Security/security-faq.md,md,71,1836,False,False,20,16,0,10,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/Security/sql-server-configuration.md,md,37.0,176,False,False,7.0,20,0,10,0,0,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/advanced-database-api-features.md,md,75.8,1369,False,False,20,20,3.8,7.0,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/api-creation-management.md,md,29.3,57,True,False,2.3,20,0,7.0,0,0,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/api-keys.md,md,48.8,169,False,False,6.8,20,0,7.0,0,0,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/api-types/database/generating-database-backed-api.md,md,75.8,4078,False,False,20,20,3.8,7.0,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/api-types/database/querying-filtering.md,md,75.8,797,False,False,20,20,3.8,7.0,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/api-types/database/sql-server.md,md,87.0,2631,False,False,20,20,15,7.0,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/api-types/file/converting-excel-to-json.md,md,42.1,378,False,False,15.1,20,0,7.0,0,0,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/api-types/file/creating-aws-s3-rest-api.md,md,66.9,372,False,False,14.9,20,0,7.0,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/api-types/file/creating-sftp-rest-api.md,md,57.0,926,False,False,20,20,0,7.0,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/api-types/file/index.md,md,49.3,137,False,True,5.5,20,1.8,7.0,0,0,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/api-types/scripting/scripted-services-and-endpoints.md,md,68.0,400,False,False,16.0,20,0,7.0,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/api-types/scripting/scripting-resources.md,md,64.5,1142,False,False,20,20,7.5,7.0,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/event-scripts.md,md,72.0,778,False,False,20,20,0,7.0,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/api-generation-and-connections/interacting-with-api.md,md,75.8,2816,False,False,20,20,3.8,7.0,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/getting-started/dreamfactory-configuration/basic-configuration.md,md,50,761,False,False,20,20,0,10,0,0,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/getting-started/dreamfactory-configuration/date-time.md,md,60,528,False,False,20,20,0,10,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/getting-started/installing-dreamfactory/docker-installation.md,md,74.8,1272,False,False,20,16,3.8,10,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/getting-started/installing-dreamfactory/helm-installation.md,md,60,1315,False,False,20,20,0,10,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/getting-started/installing-dreamfactory/installing-additional-drivers.md,md,60,1549,False,False,20,20,0,10,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/getting-started/installing-dreamfactory/installing-dreamfactory.md,md,46.5,133,False,False,5.3,20,11.2,10,0,0,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/getting-started/installing-dreamfactory/linux-installation.md,md,62.1,465,False,False,18.6,16,7.5,10,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/getting-started/installing-dreamfactory/raspberrypi-install.md,md,60,1116,False,False,20,20,0,10,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/getting-started/installing-dreamfactory/windows-installation.md,md,63.8,3253,False,False,20,20,3.8,10,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/getting-started/optimizing-dreamfactory/database.md,md,60,563,False,False,20,20,0,10,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/getting-started/optimizing-dreamfactory/php-laravel.md,md,30.4,9,True,False,0.4,20,0,10,0,0,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/getting-started/optimizing-dreamfactory/webserver.md,md,31.2,30,True,False,1.2,20,0,10,0,0,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/introduction/introducing-rest-dreamfactory.md,md,72.0,2614,False,False,20,20,0,7.0,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/introduction/introduction.md,md,77.0,667,False,True,20,20,15,7.0,0,0,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/system-settings/config/cors-ssl.md,md,60,2064,False,False,20,20,0,10,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/system-settings/logstash.md,md,63.8,2374,False,False,20,20,3.8,10,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/system-settings/the-system-api/01-system-api-brief.md,md,75,909,False,False,20,20,0,10,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/system-settings/the-system-api/02-user-management.md,md,70.4,386,False,False,15.4,20,0,10,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/system-settings/the-system-api/03-service-management.md,md,75,1149,False,False,20,20,0,10,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/system-settings/the-system-api/04-role-management.md,md,75,871,False,False,20,20,0,10,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/system-settings/the-system-api/05-api-key-management.md,md,75,940,False,False,20,20,0,10,0,10,15
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/upgrades-and-migrations/upgrading-migrating-dreamfactory.md,md,60.8,1182,False,False,20,20,3.8,7.0,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/upgrades-and-migrations/upgrading-php-windows.md,md,70.6,465,False,False,18.6,20,15,7.0,0,10,0
/root/wikimigration/documentation-consolidation/df-docs/df-docs/docs/upgrades-and-migrations/upgrading-to-php-8_1.md,md,56.8,2939,False,False,20,16,3.8,7.0,0,10,0
